,teamName,teamId,year,offense,defense
94,Connecticut,47,2021,7.50714417346165,6.494494891319003
95,Connecticut,47,2022,7.494405948267431,6.200477369918197
96,Cornell,48,2021,7.820104691787535,4.6512045014422005
97,Cornell,48,2022,7.694884091447714,5.613700341866554
98,Dartmouth,49,2021,7.622672547581582,8.828266610169921
99,Dartmouth,49,2022,7.694884091447714,5.613700341866554
100,Davidson,50,2021,9.206577342483763,2.2069240472373863
101,Davidson,50,2022,8.476480615190619,5.187489489465232
102,Dayton,51,2021,7.798068641338543,2.6971086626903467
103,Dayton,51,2022,7.571427943850174,5.154483599902818
104,Delaware,52,2021,8.203591274338681,6.35945282078865
105,Delaware,52,2022,8.886782651982214,7.121465495699295
106,Delaware State,53,2021,6.886491219490495,4.626469592365273
107,Delaware State,53,2022,6.941573389888847,5.945609710592533
108,Drake,54,2021,3.7166488253516263,7.3457753851042575
109,Drake,54,2022,6.3409758215755305,4.321276732809024
110,Duke,55,2021,7.966493787651946,7.017428827852657
111,Duke,55,2022,10.817398466796874,8.741639119993847
112,Duquesne,56,2021,7.658655947727208,5.258530600889572
113,Duquesne,56,2022,6.907005463278966,7.5844987829343475
114,East Carolina,57,2021,11.34304010327043,5.644436063523015
115,East Carolina,57,2022,11.297121612340863,7.779895975157105
116,East Tennessee State,58,2021,9.82350096809087,5.936329932434834
117,East Tennessee State,58,2022,6.940997430695195,4.720793768013959
118,Eastern Illinois,59,2021,6.19463492771493,6.1921768234407955
119,Eastern Illinois,59,2022,8.430412661038226,5.715038022595476
120,Eastern Kentucky,60,2021,9.5487325537483,5.3978542160497724
121,Eastern Kentucky,60,2022,9.429492408982755,5.362355058773437
122,Eastern Michigan,61,2021,10.391648418992334,5.407599110041783
123,Eastern Michigan,61,2022,9.18980490279843,5.709013112055926
124,Eastern Washington,62,2021,12.839059566832779,3.7222961867184137
125,Eastern Washington,62,2022,7.443250853185466,2.6452824015554905
126,Elon,63,2021,8.867321577479357,6.062238458764216
127,Elon,63,2022,9.336159062104818,7.296738447268092
128,Florida,64,2021,11.176299457070481,6.9771401246280895
129,Florida,64,2022,11.896512682466154,7.220722053296466
130,Florida A&M,65,2021,6.785093380055357,8.142652442369448
131,Florida A&M,65,2022,6.525640679563102,3.4364129588611503
132,Florida Atlantic,66,2021,8.482519413226532,7.98419302858093
133,Florida Atlantic,66,2022,11.541384445097993,5.7058380238332695
134,Florida International,67,2021,7.273002384551611,6.226629661937571
135,Florida International,67,2022,8.451705765326714,5.468017431226042
136,Florida State,68,2021,10.973065872200044,6.697927262078195
137,Florida State,68,2022,10.482973197776737,8.705143597391547
138,Fordham,69,2021,9.732669184458326,3.3759972085295726
139,Fordham,69,2022,8.839068250682686,4.605918671577537
140,Fresno State,70,2021,10.570633960391715,7.77130865083727
141,Fresno State,70,2022,10.16397144573644,7.957971701982738
142,Furman,71,2021,8.115952653344253,6.944401874024074
143,Furman,71,2022,8.755060315910022,6.710850439207505
144,Gardner - Webb,72,2021,10.08988274301008,2.833966084664403
145,Gardner - Webb,72,2022,8.677270394364124,6.495624771069391
146,Georgetown,73,2021,7.301031993343869,3.7826548996466043
147,Georgetown,73,2022,8.051732309986567,6.2274335119763995
148,Georgia,74,2021,10.103323926534365,13.243930603071457
149,Georgia,74,2022,11.539547608255289,9.104346250958585
150,Georgia Southern,75,2021,8.301384681747527,6.996316740190127
151,Georgia Southern,75,2022,10.80010839211287,7.9098258897395315
152,Georgia State,76,2021,9.602871903615005,7.306550039957577
